WAR_GAIN_GW_STATUS_2;³ÉÎªÁË;;;;;;;;;;X
WAR_GAIN_GW_STATUS_3;§YÊÀ½ç´óÕ½§!¡£;;;;;;;;;;X
WAR_GAIN_GW_STATUS_4;*;;;;;;;;;;X
WAR_GAIN_GW_STATUS_5;*;;;;;;;;;;X
WAR_GAIN_GW_STATUS_6;*;;;;;;;;;;X
WAR_GAIN_GW_STATUS_BTN1;ºÃµÄ;;;;;;;;;;X
WAR_GAIN_GW_STATUS_BTN2;ºÃµÄ;;;;;;;;;;X
WAR_GAIN_GW_STATUS_BTN3;×ªµ½;;;;;;;;;;X
WAR_GAIN_GW_STATUS_LOG;$WAR$³ÉÎªÁË§YÊÀ½ç´óÕ½§!;;;;;;;;;;X
WAR_LOST_GW_STATUS_SETUP;µ±ÎÒÃÇµÄÕ½Õù²»ÔÙÊÇÊÀ½ç´óÕ½;;;;;;;;;;X
WAR_LOST_GW_STATUS_HEADER;²»ÔÙÊÇÊÀ½ç´óÕ½£¡;;;;;;;;;;X
WAR_LOST_GW_STATUS_1;$WAR$;;;;;;;;;;X
WAR_LOST_GW_STATUS_2;²»ÔÙÊÇ;;;;;;;;;;X
WAR_LOST_GW_STATUS_3;ÊÀ½ç´óÕ½¡£;;;;;;;;;;X
WAR_LOST_GW_STATUS_4;*;;;;;;;;;;X
WAR_LOST_GW_STATUS_5;*;;;;;;;;;;X
WAR_LOST_GW_STATUS_6;*;;;;;;;;;;X
WAR_LOST_GW_STATUS_BTN1;ºÃµÄ;;;;;;;;;;X
WAR_LOST_GW_STATUS_BTN2;ºÃµÄ;;;;;;;;;;X
WAR_LOST_GW_STATUS_BTN3;×ªµ½;;;;;;;;;;X
WAR_LOST_GW_STATUS_LOG;$WAR$²»ÔÙÊÇ§YÊÀ½ç´óÕ½§!;;;;;;;;;;X
GW_INTERVENE_MIN_RELATIONS;ÎÒÃÇÓë§Y$TARGET$§!µÄ¹ØÏµ±ØÐëÖÁÉÙ´ïµ½§G$MIN$§!£¬ÏÖÔÚÊÇ§Y$VAL$§!;;;;;;;;;;X
GW_INTERVENE_MAX_EXHAUSTION;ÎÒÃÇµÄÑáÕ½³Ì¶È²»ÄÜ³¬¹ý§G$MAX$§!ÏÖÔÚÊÇ§Y$VAL$§!;;;;;;;;;;X
great_war_penalty_cb;ÍË³öÊÀ½ç´óÕ½;;;;;;;;;;X
great_war_penalty_cb_desc;ÆÈÊ¹ÁíÒ»¸ö§Y¹ú¼Ò§!½â³ýÎä×°²¢ÏòÎÒÃÇÖ§¸¶Åâ¿î;;;;;;;;;;X
great_war_penalty_cb_setup;½â³ý$RECIPIENT$µÄÎä×°²¢ÈÃËûÃÇÖ§¸¶Åâ¿î;;;;;;;;;;X
great_war_penalty_cb_short;ÍË³öÊÀ½ç´óÕ½;;;;;;;;;;X
GREAT_WAR_OBLIGATORY_CB_DESC;¶ÔËùÓÐµÐÈËµÄÇ¿ÖÆÐÔÊÀ½ç´óÕ½Õ½Õù½è¿Ú:;;;;;;;;;;X
GREAT_WAR_CB_JUSTIFY_COST_DESC;»¨·ÑµÄ¶ñÃû¼õÉÙ§G$PERC$%§!£¬ÓÉÓÚ´¦ÓÚ§YÊÀ½ç´óÕ½§!×´Ì¬;;;;;;;;;;X
GREAT_WAR_CB_CONSTRUCTION_SPEED_DESC;Óë§Y$TARGET$§!´¦ÓÚÊÀ½ç´óÕ½ÖÐ;;;;;;;;;;X
fascist_focus_short;§Y·¨Î÷Ë¹Ö÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
reactionary_focus_short;§Y·´¶¯Ö÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
conservative_focus_short;§Y±£ÊØÖ÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
socialist_focus_short;§YÉç»áÖ÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
communist_focus_short;§Y¹²²úÖ÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
liberal_focus_short;§Y×ÔÓÉÖ÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
anarcho_liberal_focus_short;§YÎÞÕþ¸®Ö÷Òå§!Ö§³Ö¶È;;;;;;;;;;X
automation_focus_short;Æû³µÖÆÔìÒµ;;;;;;;;;;X
electrical_focus_short;µç×Ó¹¤Òµ;;;;;;;;;;X
chemical_focus_short;»¯¹¤Òµ;;;;;;;;;;X
shipping_focus_short;Ôì´¬Òµ;;;;;;;;;;X
textile_focus_short;·ÄÖ¯Òµ;;;;;;;;;;X
wood_focus_short;ÁÖÒµ;;;;;;;;;;X
basic_industry_focus_short;»ù´¡¹¤Òµ;;;;;;;;;;X
armaments_focus_short;¾ü¹¤Òµ;;;;;;;;;;X
consumer_focus_short;Ïû·ÑÆ·¹¤Òµ;;;;;;;;;;X
WAR_GOAL_SUCCESS_PRESTIGE_CHANGE;Èç¹ûÊµÏÖÕâ¸öÕ½ÕùÄ¿±ê£¬ÎÒÃÇ½«»ñµÃ$PRES$ÍþÍû¡£;;;;;;;;;;X
WAR_GOAL_FAILURE_PRESTIGE_CHANGE;Èç¹û²»ÄÜÊµÏÖÕâ¸öÕ½ÕùÄ¿±ê£¬ÎÒÃÇ½«Ê§È¥$PRES$ÍþÍû¡£;;;;;;;;;;X
POP_INTERNAL_MIGRATION;§Y$NUM$§!ÈËÏëÒÆÃñµ½ÆäËûÊ¡·Ý;;;;;;;;;;X
POP_EXTERNAL_MIGRATION;§Y$NUM$§!ÈËÏëÒÆÃñµ½ÆäËû¹ú¼Ò;;;;;;;;;;X
POP_COLONIAL_MIGRATION;§Y$NUM$§!ÈËÏëÒÆÃñµ½Ö³ÃñµØ;;;;;;;;;;X
INVESTED_IN_US_SETUP;µ±Ò»¸ö¹ú¼ÒÍ¶×ÊÎÒ¹ú;;;;;;;;;;X
INVESTED_IN_US_HEADER;Íâ¹úÍ¶×Ê;;;;;;;;;;X
INVESTED_IN_US_1;$ICOUNTRY$Í¶×ÊÎÒ¹ú!;;;;;;;;;;X
INVESTED_IN_US_2;$INVESTED_IN_US_MESSAGE$;;;;;;;;;;X
INVESTED_IN_US_3;*;;;;;;;;;;X
INVESTED_IN_US_4;*;;;;;;;;;;X
INVESTED_IN_US_5;*;;;;;;;;;;X
INVESTED_IN_US_6;*;;;;;;;;;;X
INVESTED_IN_US_BTN1;ºÃµÄ;;;;;;;;;;X
INVESTED_IN_US_BTN2;ºÃµÄ;;;;;;;;;;X
INVESTED_IN_US_BTN3;×ªµ½;;;;;;;;;;X
INVESTED_IN_US_LOG;§Y$ICOUNTRY$§!Í¶×ÊÎÒ¹ú£º$INVESTED_IN_US_MESSAGE$;;;;;;;;;;X
INVESTED_IN_US_BUILD;ÔÚ$ILOCATION$Í¶×Ê$IAMOUNT$¤;½¨Ôì$INAME$;;;;;;;;;X
INVESTED_IN_US_OPEN;ÔÚ$ILOCATION$Í¶×Ê$IAMOUNT$¤;ÖØÆô$INAME$;;;;;;;;;X
INVESTED_IN_US_UPGRADE;ÔÚ$ILOCATION$Í¶×Ê$IAMOUNT$¤;Éý¼¶$INAME$;;;;;;;;;X
INVESTED_IN_US_UNKNOWN;¶ÔÎÒ¹úÍ¶×Ê$IAMOUNT$¤.;;;;;;;;;;X
MODIFY_RELATION_EFFECT;§Y$SOURCE$§!Óë§Y$TARGET$§!µÄ¹ØÏµ¸Ä±äÁË$VALUE$;;;;;;;;;;X
PRODUCTION_EXPAND_FACTORY_SHORTCUT_TOOLTIP;§GCtrlµã»÷§!¿ÉÒÔÉý¼¶ËùÓÐÍ¬Àà¹¤³§\n§GShiftµã»÷§!Éý¼¶ËùÓÐ¹¤³§;;;;;;;;;;X
EVTNAME19355;ÊÀ½ç´óÕ½;;;;;;;;;;X
EVTDESC19355;ÊÀ½ç¸÷¹úµÄÃñ×å×ÔºÀ¸ÐÈÕÒæÔöÇ¿£¬ÒÔÖÁÓÚ¸÷´ó¹úÈËÃñÖ»Ô¸Òâ¿´µ½ÁíÒ»¸ö´ó¹úµÄ³¹µ×»ÙÃð¡£´ÓÏÖÔÚ¿ªÊ¼£¬Õ½ÕùË«·½·Ö±ðÖÁÉÙÓÐÁ½¸öÁÐÇ¿¹ú¼ÒµÄÕ½Õù½«³ÉÎªÊÀ½ç´óÕ½£¡;;;;;;;;;;X
EVTOPTA19355;ÉÏµÛ±£ÓÓÎÒÃÇ;;;;;;;;;;X
AGRESSION_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$¶ÀÁ¢Õ½Õù;;;;;;;;;;X
BYE;°×¶íÂÞË¹;;;;;;;;;;X
BYE_ADJ;°×¶íÂÞË¹µÄ;;;;;;;;;;X
UBD;²¨ÂÞµÄÁªºÏÊ¡;;;;;;;;;;X
UBD_ADJ;²¨ÂÞµÄµÄ;;;;;;;;;;X
UBD_conservative;±£ÊØÅÉ;;;;;;;;;;X
UBD_liberal;×ÔÓÉÅÉ;;;;;;;;;;X
UBD_reactionary;·´¶¯ÅÉ;;;;;;;;;;X
UBD_anarcho_liberals;ÎÞÕþ¸®×ÔÓÉÖ÷ÒåÅÉ;;;;;;;;;;X
UBD_socialist;Éç»áÖ÷ÒåÅÉ;;;;;;;;;;X
UBD_communist;²¼¶ûÊ²Î¬¿Ë;;;;;;;;;;X
UBD_fascist;¹ú¼ÒÉç»áÖ÷Òåµ³;;;;;;;;;;X
BYE_conservative;±£ÊØÅÉ;;;;;;;;;;X
BYE_liberal;×ÔÓÉÅÉ;;;;;;;;;;X
BYE_reactionary;·´¶¯ÅÉ;;;;;;;;;;X
BYE_anarcho_liberals;ÎÞÕþ¸®×ÔÓÉÖ÷ÒåÅÉ;;;;;;;;;;X
BYE_socialist;°×¶íÂÞË¹Éç»áÖ÷Òå´ó»á;;;;;;;;;;X
BYE_communist;²¼¶ûÊ²Î¬¿Ë;;;;;;;;;;X
BYE_fascist;¹ú¼ÒÉç»áÖ÷Òåµ³;;;;;;;;;;X
PLC;²¨À¼-Á¢ÌÕÍð;;;;;;;;;;X
PLC_ADJ;²¨À¼-Á¢ÌÕÍðµÄ;;;;;;;;;;X
PLC_conservative;¹ú¼ÒÃñÖ÷µ³;;;;;;;;;;X
PLC_liberal;°®¹úµ³;;;;;;;;;;X
PLC_reactionary;Ëþ¸êÎ¬²éÁªÃË;;;;;;;;;;X
PLC_anarcho_liberal;¼¤½øµ³;;;;;;;;;;X
PLC_socialist;Éç»áµ³;;;;;;;;;;X
PLC_communist;Éç»áÃñÖ÷µ³;;;;;;;;;;X
PLC_fascist;Ãñ×åµ³;;;;;;;;;;X
ARA;°¢À­²®;;;;;;;;;;X
ARA_ADJ;°¢À­²®µÄ;;;;;;;;;;X
ARA_conservative;±£ÊØÅÉ;;;;;;;;;;X
ARA_liberal;×ÔÓÉÅÉ;;;;;;;;;;X
ARA_reactionary;·´¶¯ÅÉ;;;;;;;;;;X
ARA_anarcho_liberals;ÎÞÕþ¸®×ÔÓÉÖ÷ÒåÅÉ;;;;;;;;;;X
ARA_socialist;Éç»áÖ÷ÒåÅÉ;;;;;;;;;;X
ARA_communist;¹²²úÖ÷ÒåÅÉ;;;;;;;;;;X
ARA_fascist;¹ú¼ÒÉç»áÖ÷Òåµ³;;;;;;;;;;X
GCO;´ó¸çÂ×±ÈÑÇ;;;;;;;;;;X
GCO_ADJ;´ó¸çÂ×±ÈÑÇµÄ;;;;;;;;;;X
form_gran_colombia_title;³ÉÁ¢´ó¸çÂ×±ÈÑÇ;;;;;;;;;;X
form_gran_colombia_desc;´ó¸çÂ×±ÈÑÇÊÇÔÚÎ÷ÃÉ¡¤²£ÀûÍß¶û½â·Å¸çÂ×±ÈÑÇ£¬Î¯ÄÚÈðÀ­ºÍ¶ò¹Ï¶à¶ûºó×é½¨µÄÄÏÃÀµÄÕþÖÎÁª°î¡£Áª°î½âÌåÓÚ1831Äê¡£Èç¹ûÎÒÃÇÖØ½¨´ó¸çÂ×±ÈÑÇ£¬ÎÒÃÇ¾Í¿ÉÒÔ½«°²µÚË¹É½±±²¿µÄÈËÃñÖØÐÂÍ³Ò»ÆðÀ´¡£;;;;;;;;;;X
GCO_conservative;ÖÐÑëµ³;;;;;;;;;;X
GCO_conservative_2;ÐÂÖÐÑëµ³;;;;;;;;;;X
GCO_liberal;Áª°îµ³;;;;;;;;;;X
GCO_liberal_2;ÐÂÁª°îµ³;;;;;;;;;;X
GCO_liberal_3;×ÔÖÎµ³;;;;;;;;;;X
GCO_anarcho_liberal;¼¤½øµ³;;;;;;;;;;X
GCO_reactionary;´«Í³µ³;;;;;;;;;;X
GCO_socialist;Éç»á¸ïÃüµ³;;;;;;;;;;X
GCO_communist;¹²²úµ³;;;;;;;;;;X
GCO_fascist;·¨Î÷Ë¹µ³;;;;;;;;;;X
arab;°¢À­²®;;;;;;;;;;X
form_arabia_title;³ÉÁ¢°¢À­²®;;;;;;;;;;X
form_arabia_desc;ÐÖµÜÃÇ£¬×ÔÓÉÒÑ¾­À´µ½£¬ÎÒÃÇÓ®µÃÁË¹ØºõÃñ×åÃüÔËµÄÕ½¶·£¡°¢À­²®ÈËÕýÔÚ×ßÏòÎ°´ó¸´ÐË£¡;;;;;;;;;;X
IS_EMPTY;Ã»ÓÐ¿ØÖÆÕß;;;;;;;;;;X
IS_NOT_EMPTY;ÓÐ¿ØÖÆÕß;;;;;;;;;;X
EVTNAME111011928;³ÉÁ¢°¢À­²®;;;;;;;;;;X
EVTDESC111011928;°¢À­²®ÁªÃËÔÚÕ½ÕùÓëÌ¸ÅÐºóÖÕÓÚ½¨Á¢ÆðÀ´ÁË¡£ÎÒÃÇÊÇ·ñ¼ÓÈë£¿;;;;;;;;;;X
EVTOPTA111011928;µ±È»£¡;;;;;;;;;;X
EVTOPTB111011928;¾ø²»£¡;;;;;;;;;;X
